font,id,from_id,from_name,type,created_time,link,message,num_shares,num_comments,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
feed,40317581032_10155190953301033,811090588911325,Luchi Dillenberger,status,2017-12-12 21:20:59,https://www.facebook.com/Vueling/posts/10155190953301033,"Ahora no podemos seguir con nuestro viaje porque no nos avisan ni siquiera cuando van a venir las valijas, es nuestra primera vez de viaje por Europa y es una experiencia horrorosa",0,0,0,0,0,0,0,0
feed,40317581032_10155190939931033,811090588911325,Luchi Dillenberger,status,2017-12-12 21:12:31,https://www.facebook.com/Vueling/posts/10155190939931033,Amigos de Vueling por favor devuelvanme mi valija que está en Barcelona hace 2 días y yo estoy en Bruselas cagandome de frío. Gracias,0,0,1,0,0,0,0,0
feed,40317581032_10155190562241033,10206216199619332,Franzia Flores,status,2017-12-12 18:50:44,https://www.facebook.com/Vueling/posts/10155190562241033,"Nos han cancelado el vuelo VY8405 de Luton Londres a Ámsterdam, después de 12 horas de estar en el aeropuerto. Nadie del staff se ha dignado a ayudar a los pasajeros, personal del aeropuerto nos ha indicado que reagendemos el vuelo y busquemos hoteles por nuestra cuenta y ustedes pagarían los gastos (tengo una grabación al respecto) y hoy que hacemos la reclamación #1-10756082716 con las cantidades de lo que hemos gastado inesperadamente, nos responden que no será posible. Esto es una burla y un abuso. Exijo explicación y reembolso.",0,0,0,0,0,0,0,0
feed,40317581032_10155189668941033,845584425493258,ChiA-Ra Lanteri,status,2017-12-12 10:18:59,https://www.facebook.com/Vueling/posts/10155189668941033,"Hola, me gustaría saber sí pierdo el vuelo de ida, automáticamente pierdo el de vuelta?",0,1,0,0,0,0,0,0
feed,40317581032_10155189492311033,10201788698879223,Nico Afonso,status,2017-12-12 07:35:47,https://www.facebook.com/Vueling/posts/10155189492311033,"Hola, amiguitos de Vueling. Llevamos encerrados en el avión ya 40 minutos “por motivos operacionales”. Curiosamente han cancelado el vuelo de las 7:45... nos apostamos algo a que despegamos “coincidiendo” con el vuelo cancelado? Claro... los slot cuestan pasta y ya que cancelamos un vuelo, aprovechamos el siguiente. Chapeau",0,2,1,0,0,0,0,0
feed,40317581032_10155188830756033,10155854435055529,Joxerra Perez,status,2017-12-12 01:43:11,https://www.facebook.com/Vueling/posts/10155188830756033,Estoy esperando aún el bus del aeropuerto al hotel por la cancelación del vuelo!Sois una vergüenza!,0,1,0,0,0,0,0,0
feed,40317581032_10155188746771033,10152136429311372,Pamela Nagliero,status,2017-12-12 00:44:32,https://www.facebook.com/Vueling/posts/10155188746771033,"Cansada de repetir lo mismo. Verguenza pura! Me habeis dejado sin maleta! Y seguis, contestando tonterias y escusas por no devolverme la pasta! Sois lo peor.",0,2,0,0,0,0,0,0
feed,40317581032_10155188681051033,10214927370279057,Jonay Negrin Carmona,status,2017-12-12 00:05:37,https://www.facebook.com/Vueling/posts/10155188681051033,Alguien sabe donde puedo llamar para reservar un billete para un perro,0,1,0,0,0,0,0,0
feed,40317581032_10155188619766033,10155038019110441,Dan Cronin,status,2017-12-11 23:22:08,https://www.facebook.com/Vueling/posts/10155188619766033,"You may love Autumn but you clearly hate your customers. Your unquestionably terrible customer service today has made hundreds of people rethink which airline they give their money to.  Lamentable, no el siguiente.",0,0,1,0,0,0,0,1
feed,40317581032_10155188573876033,1208690239232955,اليخاندرا سواريس,status,2017-12-11 22:56:32,https://www.facebook.com/Vueling/posts/10155188573876033,"Buenas noches,Me dirijo a ustedes para indicarles el pésimo funcionamiento de su página web a la hora de solicitar una compensación económica y de reclamar el reembolso de mi billete que no he podido utilizar pues mi vuelo VY1578 del día 11/11/2017 salida a las 19:05 desde Asturias y llegada a las 20:35 a Barcelona fue cancelado por motivos de operativa, un piloto se ausentó de su puesto de trabajo por motivos personales.Por lo que leyendo el reglamento no ha sido por ninguna circunstancia  extraordinaria de huelgas,  seguridad o condiciones meteorológicas , sino por una mala planificacion de la tripulación de cabina que deberían ustedes tener disponibles para emergencias .Además la reubicación que ofrecían conllevaba llegar al lugar de destino casi 24 horas después ,pues pretendían hacernos ir hasta Bilbao desde Asturias de noche y salir de Bilbao a las seis de la tarde llegando a  las 19:50 a Barcelona  y ya por último en ningún momento se aviso de esta cancelación con el plazo máximo estipulado por el reglamento.Su pésima gestión conlleva que no pueda incoporame a mi trabajo en Barcelona tal y como tenía previsto el próximo 12/12/2017.Pues después  de todos los daños causados no puedo ni reclamar el rembolso del importe del billete que no he usado, y que he tenido que comprar otro para las 9:20 de la mañana del día siguiente , ya que  su pésima reubicación  implicaba perder otro día de trabajo entero.Esperó que  mejoren su página web para poder reclamar por lo menos el reembolso del billete que por su mala planificación no he podido usar.  Por último les ruego un contacto para poder por lo menos reclamar el reembolso de un servicio no recibido por su mala gestión, causa no externa a ustedes. Gracias,Un saludo.",0,1,0,0,0,0,0,0
